id,book,alignments,ch_match
EShia0027411,0363QadiNucman.Idah,2,324
EShia0086596,0363QadiNucman.ManaqibWaMathalib,57,15196
Filaha003,1127KhayrDinIbnIlyas.FalahFallah,2,645
GRAR000032,0595IbnRushdHafid.TalkhisShicrLiAristutalis,6,663
GVDB20200120,0692IbnCabdZahir.RawdZahir,286,105542
GVDB20200219,0750Anonymous.SirajZulma,7,2734
GVDB20200607,0717CalaDinIbnCabdZahir.RawdZahir,30,17830
GVDB20200701,0730ShaficIbnCali.FadlMathur,4,2066
GVDB20200720,0692IbnCabdZahir.TashrifAyyam,3,657
GVDB20201027,0725BaybarsMansuri.ZubdatFikra,176,65641
GVDB20210106,0725BaybarsMansuri.MukhtarAkhbar,41,9193
Hindawi95926405Vols,0375IkhwanSafa.Rasail,8,2044
JK000001,0505Ghazali.IhyaCulumDin,245,84269
JK000002,0281IbnAbiDunya.TawaducWaKhumul,2,683
JK000013,0281IbnAbiDunya.Shukr,2,470
JK000014,0281IbnAbiDunya.MaradWaKaffarat,3,378
JK000015,0281IbnAbiDunya.MakarimAkhlaq,12,3009
JK000021,0458Bayhaqi.ShucabIman,81,22102
JK000022,0430AbuNucaymIsbahani.HilyatAwliya,93,24745
JK000024,0458Bayhaqi.FadailAwqat,1,204
JK000028,0728IbnTaymiyya.Istiqama,9,1533
JK000030,0581IbnKharratIshbili.CaqibaFiDhikrMawt,35,9716
JK000034,0795IbnRajabHanbali.SharhHadithLabbayka,1,120
JK000036,0505Ghazali.MaqsadAsna,2,864
JK000042,0281IbnAbiDunya.Awliya,2,683
JK000050,0281IbnAbiDunya.Hawatif,5,911
JK000055,0181IbnMubarak.Zuhd,7,1839
JK000077,0728IbnTaymiyya.ZuhdWaWarac,1,261
JK000083,0751IbnQayyimJawziyya.HadiArwah,8,3188
JK000096,0751IbnQayyimJawziyya.NaqdManqul,1,74
JK000098,1327AhmadIbrahimCisa.TawdihMaqasid,8,1628
JK000099,0751IbnQayyimJawziyya.Salat,2,485
JK000101,0751IbnQayyimJawziyya.SawaciqMursala,3,663
JK000110,0256Bukhari.Sahih,249,77923
JK000130,0303Nasai.SunanSughra,36,8728
JK000134,0852IbnHajarCasqalani.TahdhibTahdhib,20,3066
JK000170,1252IbnCabidinDimashqi.RaddMuhtar,4,856
JK000181,0387IbnBattaCukbari.IbtalHiyal,1,137
JK000195,0851IbnQadiShuhba.TabaqatShaficiyya,3,227
JK000196,1118CabdHamidShirwani.Hawashi,3,572
JK000201,1353IbnCabdRahimMubarakfuri.TuhfatAhwadhi,27,4846
JK000208,1221IbnMuhammadBujayrimiMisri.TajridLiNafcCabid,2,383
JK000213,0526IbnAbiYacla.TabaqatHanabila,4,1530
JK000216,1120IbnMuhammadBurhanDinDimashqi.BayanWaTacrif,20,4698
JK000221,0597IbnJawzi.TahqiqFiAhadithKhilaf,10,2459
JK000258,0203YahyaIbnAdam.Kharaj,4,577
JK000271,0804IbnMulaqqin.TuhfatMuhtaj,10,1636
JK000272,0476AbuIshaqShirazi.MuhadhdhabFiFiqh,7,1146
JK000287,0620IbnQudamaMaqdisi.CumdatFiqh,1,259
JK000299,0861IbnHumam.SharhFathQadir,18,4497
JK000303,0476AbuIshaqShirazi.TanbihFiFiqhShafici,1,210
JK000318,0571IbnCasakir.TabyinKadhb,1,398
JK000328,0620IbnQudamaMaqdisi.HikayatMunazara,1,108
JK000334,0429IbnTahirBaghdadi.FarqBaynaFiraq,1,195
JK000343,0456IbnHazm.FisalFiMilal,5,943
JK000347,0380AbuBakrKalabadhi.TacarrufLiMadhhabAhlTasawwuf,2,461
JK000360,1246IbnCabdGhaniDihlawi.RisalatTawhid,2,375
JK000362,0728IbnTaymiyya.DarTacarud,8,1907
JK000366,0842IbnNasirDinDimashqi.RaddWafir,1,160
JK000368,0728IbnTaymiyya.Safadiyya,2,377
JK000370,0728IbnTaymiyya.SarimMaslul,25,6618
JK000371,0728IbnTaymiyya.RaddCalaMantiqiyyin,4,1256
JK000374,0728IbnTaymiyya.BughyatMurtad,5,1333
JK000383,0774IbnKathir.TalkhisKitabIstighatha,6,1041
JK000384,0395IbnMandahMuhammad.Iman,29,11009
JK000386,0728IbnTaymiyya.SharhCumdatFiqh,11,2665
JK000389,0182AbuYusufYacqub.RaddCalaSiyarAwzaci,1,172
JK000393,0597CimadDinKatibIsfahani.BarqShami,2,459
JK000394,1237Jabarti.CajaibAthar,1,79
JK000401,0821Qalqashandi.Maathir,93,36016
JK000405,0628IbnCaliSanhaji.AkhbarMuluk,2,505
JK000410,0647CabdWahidMarrakushi.Mucjib,37,10334
JK000412,0240KhalifaIbnKhayyat.Tarikh,29,6383
JK000417,0927Nucaymi.DarisFiMadaris,12,2422
JK000435,0211CabdRazzakSancani.Tafsir,6,1928
JK000451,1033MarciKarmi.QalaidMarjan,1,133
JK000458,0982IbnMuhammadAbuSucud.IrshadCaqlSalim,45,9877
JK000462,0468IbnAhmadWahidiNaysaburi.WajizFiTafsir,16,3149
JK000463,0505IbnHamzaTajQurraKirmani.AsrarTikrar,1,109
JK000475,0303Nasai.SunanKubra,123,34992
JK000477,0385Daraqutni.Sunan,8,2674
JK000481,0287IbnAbiCasim.AhadWaMathani,53,13194
JK000482,0241IbnHanbal.FadailSahaba,34,8867
JK000492,0175LaythIbnSacd.Cawali,1,196
JK000499,0474IbnKhalafBaji.TacdilWaTajrih,5,888
JK000508,0643DiyaDinMuqaddasi.FadailBaytMaqdis,16,4113
JK000520,0369AbuShaykhIsbahani.TabaqatMuhaddithin,9,2580
JK000532,0748Dhahabi.TadhkiratHuffaz,4,589
JK000533,0852IbnHajarCasqalani.IsabaFiTamyiz,160,33317
JK000562,0287IbnAbiCasim.Jihad,1,420
JK000581,0845Maqrizi.MikhtasarKitabWitr,1,184
JK000582,0475IbnMakula.IkmalFiRafcIrtiyab,4,424
JK000595,0343IbnSulaymanAtrabulusi.Hadith,5,1561
JK000609,0852IbnHajarCasqalani.WuqufCalaMawquf,1,175
JK000616,0571IbnCasakir.ArbacunaFiHathth,2,370
JK000620,0301AbuBakrFaryabi.DalailNubuwwa,3,510
JK000621,0310IbnAhmadDulabi.Dhariyya,10,2533
JK000624,0414AbuQasimRazi.Fawaid,11,2730
JK000649,0576AbuTahirSilafi.Mashyakha,1,104
JK000653,0307IbnHarunRuyani.Musnad,15,4209
JK000657,0535QawwamSunna.DalailNubuwwa,59,17909
JK000667,0402MuhammadSaydawi.MucjamShuyukh,1,108
JK000668,0256ZubayrIbnBakkar.Muntakhab,7,1853
JK000671,0620IbnQudamaMaqdisi.MutahabbinFiLlah,1,207
JK000676,1307Qannawji.AbjadCulum,2,560
JK000677,0204Shafici.SunanMathura,2,553
JK000679,0279Tirmidhi.CilalKabir,1,146
JK000691,0307AbuYaclaMawsili.Mucjam,4,801
JK000693,0292IbnCaliMarwazi.MusnadAbiBakr,1,703
JK000698,0458Bayhaqi.Ictiqad,13,3254
JK000699,0748Dhahabi.DinarMinHadith,2,277
JK000700,0281IbnAbiDunya.Rida,1,109
JK000704,0597IbnJawzi.TadhkiratArib,1,139
JK000723,0303Nasai.Wafat,2,581
JK000728,0458Bayhaqi.MadkhalIlaSunanKubra,4,868
JK000733,0458Bayhaqi.ArbacunaSughra,1,83
JK000734,0804IbnMulaqqin.KhulasatBadrMunir,3,797
JK000735,0303Nasai.CamalYawmWaLayla,14,2501
JK000747,0303Nasai.FadailSahaba,3,918
JK000761,0463KhatibBaghdadi.JamicLiAkhlaqRawiWaAdabSamic,4,471
JK000763,0748Dhahabi.MucjamMuhaddithin,1,93
JK000778,0463IbnCabdBarr.IsticabFiMacrifatAshab,465,128402
JK000784,0227IbnMansurKhurasani.TafsirMinSunanSacid,4,722
JK000786,0235IbnAbiShayba.Musannaf,69,16272
JK000787BK1,0620IbnQudamaMaqdisi.MuqnicFiFiqh,2,283
JK000791,0597IbnJawzi.ZadMasir,187,36428
JK000798,0189MuhammadShaybani.HujjaCalaAhlMadina,1,291
JK000806,0775IbnAbiWafa.JawahirMudiya,3,966
JK000830,0379MuhammadRabci.WasayaCulama,4,906
JK000836,0911Suyuti.MadrajIlaMudraj,1,194
JK000849,0458IbnSidaMursi.Mukhassas,5,1259
JK000865,0817MajdDinFiruzabadi.TanwirMiqbas,6,1213
JK000875,0403IbnZanjala.HujjatQiraat,1,119
JK000899,0728IbnTaymiyya.RisalaFiTahqiqTawakkul,1,157
JK000902,0728IbnTaymiyya.RisalaFiRaddCalaIbnCarabi,2,302
JK000903,0728IbnTaymiyya.Tawba,1,201
JK000908,0281IbnAbiDunya.ManCashaBacdaMawt,1,171
JK000910,0597IbnJawzi.Adhkiya,37,11169
JK000911,0630IbnAthirCizzDin.Kamil,4325,1670245
JK000914,0771Subki.TabaqatShaficiyyaKubra,71,21094
JK000916,0571IbnCasakir.TarikhDimashq,1445,402223
JK000917,0543IbnCarabiIshbili.AhkamQuran,90,22976
JK000918,0369AbuShaykhIsbahani.AkhlaqNabi,19,5574
JK000919,0356AbuCaliQali.AmaliFiLugha,78,15322
JK000927,0362AbuFarajIsbahani.Aghani,1093,330933
JK000940,0769IbnCabdAllahTaqiDinShibli.AkamMarjan,37,11700
