ms1,b1,e1,id2,ms2,b2,e2,ch_match
3,563,1193,Shamela0012286,2654,975,1620,482
5,410,608,Shamela0011780,6,1254,1485,152
7,1101,1434,Shamela0010809,4,153,470,183
7,1252,1434,Shamela0011780,256,1447,1641,146
14,110,403,Shamela0010809,4,276,566,228
14,110,344,Shamela0011780,256,1447,1681,186
18,1108,1460,Shamela0011780,5,835,1311,237
19,176,566,Shamela0011780,7,1,295,181
19,1237,1494,Shamela0011780,10,1443,1706,191
19,338,849,Shamela0011780,18,1,480,273
20,66,1636,Shamela0011780,11,81,1686,1243
21,691,1431,Sham19Y0018147,112,540,1146,244
21,1330,1618,Sham19Y0018147,116,946,1237,211
21,691,1431,SHAM19Y23644,87,929,1511,241
21,1330,1618,SHAM19Y23644,90,537,834,221
21,853,1345,Shamela0003298,5,1077,1582,286
21,1345,1618,Shamela0003298,6,1,293,166
21,1,1355,Shamela0011780,12,62,1654,1026
21,1358,1618,Shamela0011780,13,1,268,199
22,1,1343,Shamela0003298,6,293,1525,863
22,1366,1553,Shamela0003298,7,17,291,124
22,146,1124,Shamela0008648,740,871,1595,412
22,1,1211,Shamela0011780,13,268,1554,885
22,1414,1553,Shamela0011780,14,639,794,109
23,1,1089,Shamela0003298,7,291,1571,768
23,1204,1651,Shamela0003298,8,8,405,263
23,17,718,Shamela0011780,14,837,1561,488
23,728,1651,Shamela0011780,15,40,1084,645
24,20,1167,Shamela0003298,8,656,1707,568
24,1167,1596,Shamela0003298,9,1,451,285
24,20,530,Shamela0011780,15,1354,1721,228
24,523,1612,Shamela0011780,16,106,1279,730
25,6,1036,Shamela0003298,9,525,1530,719
25,154,1447,Shamela0011780,17,92,1559,904
26,1,1429,Shamela0011780,18,91,1581,1095
26,1429,1578,Shamela0011780,19,1,149,119
27,684,1569,ShamAY0034694,1664,449,1202,548
27,684,1569,ShamDhahabiyya0056999,66,699,1472,576
27,678,1205,Shamela0000471,26,942,1541,351
27,1205,1569,Shamela0000471,27,7,364,266
27,1,1397,Shamela0011780,19,152,1563,1088
27,1397,1569,Shamela0011780,20,1,173,139
28,1,189,Shamela0000471,27,364,550,140
28,1,194,Shamela0011780,20,173,364,150
28,445,1581,Shamela0011780,26,1,1144,776
29,794,946,ShamAY0034447,1357,1034,1190,104
29,1,597,Shamela0011780,26,1144,1611,203
29,597,1513,Shamela0011780,27,1,947,603
29,1180,1441,Shamela0012532,49,825,1094,175
29,673,888,Shamela0012532,53,793,1037,132
29,678,881,Shamela0021598,2721,65,291,117
29,794,946,Shamela0023735,919,524,667,111
29,211,378,Shamela0023735,1966,757,922,124
29,1103,1548,Shamela0023735,2757,427,788,273
29,673,888,Shamela0096232,92,1245,1488,129
29,211,378,Shia001389,239,1175,1341,124
30,352,993,ShamDhahabiyya0056999,67,602,1228,255
30,1,481,Shamela0011780,27,956,1547,324
30,538,1539,Shamela0011780,28,4,959,660
30,988,1539,Shamela0012935,146,635,1128,341
30,993,1539,Shamela0023695,685,588,845,161
30,751,1173,Shamela0023735,1008,1097,1348,144
30,988,1539,Shamela0023735,2814,373,877,345
30,272,568,Shamela0023735,2960,1124,1381,195
31,1,514,Shamela0011780,28,959,1482,384
31,509,1518,Shamela0011780,29,159,1615,626
31,1,514,Shamela0012935,146,1128,1554,311
31,1,509,Shamela0023735,2814,877,1296,319
32,574,701,Sham19Y0013231,8330,817,975,101
32,355,650,ShamAY0038405,279,1042,1314,195
32,77,355,ShamAY0038405,296,145,403,166
32,355,528,ShamAY0038419,221,1324,1493,123
32,569,707,Shamela0009429,985,1407,1578,86
32,8,1266,Shamela0011780,30,16,1287,879
32,584,810,Shamela0011787,227,920,1127,135
32,355,517,Shamela0023695,1027,1341,1498,113
32,355,588,Shamela0023735,721,1273,1518,171
32,14,355,Shamela0023735,996,708,1090,232
32,574,785,Shamela0023735,2807,272,482,165
32,401,650,Shia002964Vols,700,10,221,144
32,574,763,Shia004022,213,1202,1394,150
33,309,547,ShamAY0038405,322,444,661,155
33,800,1124,ShamAY0038405,458,220,508,204
33,324,523,ShamDhahabiyya0056999,67,1228,1420,131
33,50,473,Shamela0011780,30,1269,1549,191
33,489,1589,Shamela0011780,31,6,1104,767
33,300,898,Shamela0011787,228,585,1084,263
33,309,419,Shamela0023735,1484,1496,1605,86
33,419,800,Shamela0023735,1485,1,362,237
33,883,1124,Shamela0023735,3207,1,231,176
34,1,493,Shamela0011780,31,1104,1567,355
34,493,1341,Shamela0011780,32,1,1105,567
34,1370,1569,Shamela0011780,33,599,785,148
35,1,689,Shamela0011780,33,789,1578,508
35,689,1633,Shamela0011780,34,1,1268,528
36,158,1501,Shamela0011780,35,174,1569,963
36,938,1241,Shamela0023735,3068,468,771,235
37,160,502,ShamDhahabiyya0056999,68,640,1047,88
37,1,381,ShamDhahabiyya0056999,70,126,710,226
37,77,1122,Shamela0011780,36,394,1559,637
37,1122,1519,Shamela0011780,37,1,459,265
37,395,654,Shamela0023735,2703,253,539,182
37,677,1322,Shamela0023735,2823,6,478,305
37,410,722,Shia003633,125,181,486,237
37,395,654,Shia003633,150,1181,1468,182
38,6,938,Shamela0011780,37,459,1609,668
38,938,1556,Shamela0011780,38,1,723,433
38,1,530,Shamela0023735,2961,40,598,352
39,808,1141,Shamela0011484,136,930,1184,165
39,214,1525,Shamela0011780,40,141,1555,952
39,764,1203,Shamela0023735,710,110,543,266
39,509,1299,Shamela0023735,2559,927,1411,296
39,312,574,Shamela0023735,2559,184,459,176
40,1,1282,Shamela0011780,41,1,1543,915
40,1285,1500,Shamela0011780,42,4,235,152
41,1,799,Shamela0011780,42,235,1071,563
41,799,1509,Shamela0011780,43,873,1558,471
41,382,555,Shamela0023735,372,476,655,119
41,1,392,Shamela0023735,2560,13,321,214
41,382,555,Shia004664,268,1087,1261,115
42,1,299,Shamela0011780,44,43,344,223
42,299,809,Shamela0011780,44,965,1506,349
42,1127,1489,Shamela0011780,50,496,886,240
43,655,849,Shamela0011780,53,541,832,107
44,904,1403,Shamela0010809,9,971,1204,157
47,77,297,MSG20191024,158,786,1025,130
50,1299,1554,Shamela0011566,32,1,240,169
50,1210,1554,Shamela0011780,112,20,348,228
51,861,1468,Shamela0001002,690,129,773,275
51,861,1468,Shamela0011566,779,500,1167,288
51,983,1468,Shamela0011780,124,1,665,232
51,99,407,Shamela0011787,207,899,1123,124
52,88,422,Shamela0011780,125,1,413,219
52,507,861,Shamela0011780,126,1,486,215
52,1211,1452,Shamela0011780,127,4,398,143
53,670,1079,Shamela0011780,129,765,1434,285
53,1114,1515,Shamela0011780,132,511,886,211
53,1187,1397,Shamela0011787,218,1284,1521,143
54,310,516,Shamela0011484,155,678,887,133
54,121,892,Shamela0011780,134,38,929,496
54,884,1386,Shamela0011780,135,1112,1661,305
54,310,521,Shamela0023735,795,346,562,136
55,1,320,Shamela0011780,136,248,872,165
55,438,839,Shamela0011780,137,975,1547,246
55,1249,1525,Shamela0011780,138,1235,1543,221
56,659,960,ShamDhahabiyya0056999,146,1240,1512,194
56,960,1586,ShamDhahabiyya0056999,147,1,541,314
56,740,1021,Shamela0009429,1160,1,501,163
56,1,387,Shamela0010798,131,360,639,210
56,1,654,Shamela0011780,140,717,1393,477
56,654,1108,Shamela0011780,142,1115,1594,326
56,1116,1593,Shamela0011780,143,1,670,332
56,654,966,Shamela0011787,230,1,332,207
57,725,960,ShamDhahabiyya0056999,156,386,576,143
57,6,845,Shamela0011780,143,675,1625,511
57,845,1284,Shamela0011780,144,1,603,295
58,882,1509,ShamDhahabiyya0056999,149,1083,1401,197
58,1414,1559,Shamela0001043,438,953,1107,105
58,882,1370,Shamela0006710,349,370,787,299
58,1,1126,Shamela0011780,145,313,1579,777
58,1126,1566,Shamela0011780,146,1,449,325
58,1428,1559,Shamela0011787,238,1035,1179,100
59,10,441,SHAM19Y23644,3543,1275,1537,198
59,10,134,ShamDhahabiyya0056999,149,1408,1535,92
59,181,549,ShamDhahabiyya0056999,150,1,289,210
59,23,549,Shamela0001043,438,1167,1530,202
59,1,646,Shamela0006710,315,439,912,302
59,1,810,Shamela0011780,146,449,1407,568
59,1,508,Shamela0011787,238,1188,1628,236
60,155,395,Shamela0010798,51,708,1322,178
60,604,817,Shamela0010798,66,659,825,130
60,921,1035,Shamela0010798,139,1443,1555,89
60,48,269,Shamela0011780,149,1115,1655,138
60,614,1052,Shamela0011780,151,132,785,265
61,459,652,ShamDhahabiyya0056999,160,1127,1310,140
61,185,412,ShamDhahabiyya0056999,161,224,441,158
61,180,459,Shamela0010798,94,1212,1493,218
61,521,687,Shamela0010798,100,358,521,126
61,680,1046,Shamela0010798,103,73,428,269
61,32,687,Shamela0011780,152,686,1519,408
